,Unnamed: 0,artist_id,artist_name
0,0,1405,Shakira
6,6,1138929,Prince Royce & Shakira
10,10,622140,CNCO
15,15,1631479,CNCO
20,20,828,Ricky Martin
30,30,1440188,Cardi B
31,31,1202954,J Balvin & Willy William
32,32,1407355,Nicky Jam & J Balvin
34,34,1587228,Chris Jeday
35,35,223925,J Balvin
36,36,1724859,Anitta & J Balvin
37,37,1576647,Bad Bunny
38,38,1561035,David Guetta
39,39,1449207,Liam Payne & J Balvin
40,40,403538,Zion & Lennox
43,43,1583402,Zion & Lennox
50,50,344693,Carlos Vives
60,60,458858,Sebastián Yatra
67,67,1539255,Sebastián Yatra & Isabela Moner
68,68,1594408,Sebastián Yatra & Beret
70,70,150934,The Chainsmokers
71,71,1091336,The Chainsmokers & Coldplay
79,79,1452854,The Chainsmokers & Drew Love
80,80,1119780,Luis Fonsi & Daddy Yankee
81,81,1240266,Genius Translations
82,82,1823,Daddy Yankee
83,83,1258177,Camila Cabello & Daddy Yankee
90,90,2358,The Weeknd
100,100,41287,DJ Snake
110,110,1004541,IAmChino
118,118,546789,Genius en Español
119,119,1102825,China Fox
120,120,500,Bruno Mars
126,126,1577927,Gucci Mane
129,129,1730061,Cardi B & Bruno Mars
130,130,13539,Maroon 5
140,140,1111425,Christian Nodal
150,150,106693,Clean Bandit
160,160,405706,Piso 21
167,167,1500630,Robin Schulz & Piso 21
170,170,8362,Enrique Iglesias
180,180,405415,Maluma
190,190,640693,Ozuna
195,195,1570651,"Ozuna & Ele A ""El Dominio"""
200,200,358160,Chino & Nacho
220,220,26507,Ariana Grande
240,240,2069,Calvin Harris
243,243,1425396,Calvin Harris & Dua Lipa
244,244,1553003,Calvin Harris & Sam Smith
250,250,250301,Charlie Puth
260,260,130,Drake
270,270,32131,Wisin
274,274,13157,Wisin & Yandel
280,280,1296540,Martin Garrix & Dua Lipa
281,281,1296302,Martin Garrix & Bebe Rexha
282,282,1271116,Martin Garrix & David Guetta
283,283,1144595,Martin Garrix & Troye Sivan
284,284,65238,Martin Garrix
286,286,1392177,David Guetta
287,287,1012415,Martin Garrix & Tiësto
289,289,1604666,Martin Garrix & Pierce Fulton
290,290,665,Major Lazer
296,296,1230606,Major Lazer & DJ Maphorisa
298,298,1322459,Cashmere Cat
300,300,344914,Alejandro Fernández
310,310,23796,​twenty one pilots
320,320,343803,Thalía
330,330,490779,Banda Sinaloense MS de Sergio Lizárraga
340,340,1296456,Rvssian
341,341,1707137,Pedro Capó & Farruko
343,343,1504749,Anuel AA
344,344,152199,Farruko
346,346,1752753,Myke Towers & Farruko
347,347,1440426,Abraham Mateo
350,350,654,Mike Posner
360,360,17085,Cartel de Santa
370,370,70113,BTS
372,372,15792,Steve Aoki
373,373,1044201,Steve Aoki & Louis Tomlinson
375,375,1251784,Steve Aoki & Lauren Jauregui
376,376,404483,Steve Aoki & Angger Dimas
378,378,1617257,Steve Aoki
379,379,670767,Steve Aoki & Boehm
380,380,339472,ZAYN
382,382,1043198,ZAYN & Taylor Swift
400,400,1467082,Logic & Juanes
401,401,54791,Juanes
410,410,405252,Ariel Camacho Y Los Plebes Del Rancho
420,420,177756,Rae Sremmurd
450,450,365092,Tommy Torres
451,451,277076,Pablo Alborán
452,452,1063915,Jean Carlos Heigl
453,453,1310533,Jesse y Joy & Gente de Zona
454,454,204611,Genius
455,455,69342,Spotify
458,458,351264,Krey
459,459,26810,Jesse Jones
461,461,138906,Nicky Jam
468,468,1544295,Nicky Jam
470,470,406125,Sofía Reyes
471,471,1641227,Yellow Claw & Sofía Reyes
500,500,632979,Jonas Blue
505,505,1571566,MK
509,509,1418834,Sabrina Carpenter & Jonas Blue
520,520,367239,Los Ángeles Azules
530,530,334,Justin Timberlake
560,560,354376,Luis Miguel
600,600,346373,Reik
603,603,1569348,Reik & Maluma
610,610,16775,Sia
617,617,79028,Sivas
619,619,13325,Maître Gims
620,620,34107,James Arthur
626,626,1600467,James Arthur & Anne-Marie
640,640,150394,Gente De Zona
660,660,459343,Charly Black
668,668,1218503,Charly Black & Luis Fonsi
670,670,349674,Julion Alvarez Y Su Norteno Banda
680,680,374824,Joey Montana
690,690,615500,Los Plebes del Rancho de Ariel Camacho
700,700,195029,Shawn Mendes
707,707,1740394,Shawn Mendes & Camila Cabello
750,750,347385,Calibre 50
760,760,68582,León Larregui
770,770,357,Justin Bieber
775,775,1195838,Justin Bieber & BloodPop®
777,777,1695396,Jack Ü & Justin Bieber
810,810,565381,DNCE
820,820,624481,Anuel AA
825,825,404512,Christmas Songs
829,829,170,Kurupt
850,850,999629,Kungs & Cookin' On 3 Burners
851,851,1500998,Kungs & Stargate
852,852,669217,Kungs
854,854,226671,Fricky
858,858,1025526,Kungs & Mozambo
860,860,482494,La adictiva banda san josé de mesillas
870,870,270518,Paulina Rubio
880,880,491975,Morat
890,890,1064468,Ulices Chaidez Y Sus Plebes
900,900,456537,Alan Walker
902,902,1659070,Alan Walker & Sophia Somajo
903,903,1642872,Alan Walker
908,908,262801,Ina Wroldsen
909,909,1654097,Alan Walker
920,920,161157,Gerardo Ortiz
930,930,367203,Bacilos
950,950,1151884,Alta Consigna
959,959,556414,Vegas Jones
960,960,352807,Banda Los Recoditos
980,980,388604,Juan Magán
983,983,1519294,Ana Guerra & Juan Magán
985,985,1741320,Topic
1000,1000,1589111,Marc Anthony
1001,1001,13096,Marc Anthony
1006,1006,1033478,Jennifer Lopez & Marc Anthony
1030,1030,991355,Nevada
1031,1031,366199,Vicetone
1032,1032,1566836,Nevada & Loote
1033,1033,12418,Ed Sheeran
1034,1034,25680,​blackbear
1035,1035,247683,Machete Empire Records
1036,1036,169123,Attack Attack!
1037,1037,19364,Atreyu
1038,1038,355297,Scout Niblett
1039,1039,581698,Liam Payne
1050,1050,60437,Fifth Harmony
1060,1060,118792,Alejandro Sanz
1070,1070,1065439,Crecer Germán
1073,1073,1255934,Grupo Codiciado
1075,1075,55782,SFDK
1076,1076,1057771,Zumpiattes
1077,1077,356955,Caballeros De La Quema
1078,1078,353522,Grupo Logos
1079,1079,44012,Dealema
1100,1100,402322,La Arrolladora Banda El Limón De René Camacho
1110,1110,1496274,Alok & Bruno Martini
1111,1111,1549226,Ina Wroldsen & Alok
1112,1112,999347,Alok
1114,1114,1496272,Alok & Bhaskar
1115,1115,1457484,Alok
1116,1116,1439969,Alok & Mathieu Koss
1118,1118,1465011,Alok
1119,1119,233069,Mamonas Assassinas
1120,1120,355570,Joan Sebastian
1190,1190,89,Rihanna
1195,1195,1254058,N.E.R.D & Rihanna
1196,1196,1586713,Rihanna
1210,1210,32132,Yandel
1215,1215,1528656,Yandel & Farruko
1219,1219,1266389,Noriel
1230,1230,111722,Milky Chance
1240,1240,62408,Raphael de la Ghetto
1241,1241,72601,De La Ghetto
1250,1250,270484,Tatiana Manaois
1251,1251,860,Gorillaz
1252,1252,17582,Brand New
1253,1253,82208,Lea Salonga
1254,1254,14259,Manau
1255,1255,653968,Tankurt Manas
1256,1256,573737,EMTee
1258,1258,569063,Canserbero & Lil Supa'
1259,1259,19217,Vald
1270,1270,344364,Cristian Castro
1290,1290,991853,Sak Noel & Salvi
1292,1292,617447,Kintsugi
1293,1293,654247,MSK
1294,1294,529020,Ravi (NO)
1295,1295,85353,Cacife Clandestino
1296,1296,25643,Klovner I Kamp
1297,1297,263454,Titãs
1298,1298,1507735,Genius Romanizations
1299,1299,1111936,AgaH2O
1330,1330,484307,Mon Laferte
1340,1340,175579,Robin Schulz
1341,1341,1685959,Nick Jonas & Robin Schulz
1343,1343,191253,Lilly Wood & The Prick
1345,1345,6996,Mr. Probz
1346,1346,1275335,Robin Schulz & David Guetta & Cheat Codes
1347,1347,1211257,Robin Schulz & HUGEL
1348,1348,1214082,Robin Schulz & Marc Scibilia
1350,1350,651111,Niall Horan
1355,1355,1243691,Niall Horan & Maren Morris
1360,1360,348226,Luis Enrique
1369,1369,262038,Luis Enrique Mejía Godoy
1370,1370,60768,Lukas Graham
1380,1380,343628,Timbiriche
1392,1392,1280523,Ed Sheeran & Beyonce
1400,1400,338486,Cali Y El Dandee
1421,1421,8351,Coldplay
1430,1430,5510,Don Omar
1436,1436,1652768,Farruko & Don Omar
1437,1437,1670369,Daddy Yankee & Don Omar
1480,1480,127642,Tove Lo
1510,1510,377002,Cheat Codes
1511,1511,1031581,Cheat Codes & Dante Klein
1512,1512,1144805,Cheat Codes & Cade
1513,1513,1052284,Cheat Codes & Kris Kross Amsterdam
1515,1515,557178,Maggie Lindemann
1518,1518,1183967,Cheat Codes & Nicky Romero
1519,1519,1017396,Quintino & Cheat Codes
1520,1520,278311,Kygo
1524,1524,1167701,Kygo & Ellie Goulding
1526,1526,1500423,Kygo & Imagine Dragons
1530,1530,99894,El Komander
1550,1550,544871,R. City
1560,1560,703,Foster The People
1570,1570,336020,Natalia Lafourcade
1577,1577,348192,El Canto Del Loco
1580,1580,656936,Jacob Forever
1610,1610,354184,Kabah
1620,1620,45349,Charli XCX
1624,1624,1593173,Charli XCX & Troye Sivan
1640,1640,281669,Kevin Roldán
1641,1641,1056723,Amenazzy
1660,1660,402461,La Quinta Estación
1690,1690,597515,Ypo
1691,1691,387622,Enzo Avitabile
1692,1692,382053,Enzo Carella
1693,1693,355052,Enzo Jannacci
1694,1694,1408,Maino
1695,1695,65951,PlatanoPeddler
1696,1696,33880,Guè Pequeno
1697,1697,1658427,YRB Drako
1698,1698,1099716,Mauro Marsu
1699,1699,1487562,OG Bobby
1700,1700,626678,Desiigner
1730,1730,359349,Fidel Rueda
1740,1740,453636,Alfredo Olivas
1750,1750,406029,Reykon
1780,1780,159154,Galantis
1784,1784,1009174,Galantis & Hook N Sling
1785,1785,1218387,Galantis & Throttle
1787,1787,1208090,Galantis & ROZES
1790,1790,452424,Río Roma
1800,1800,385126,Tony Camargo
1802,1802,1507,Sniper
1803,1803,29744,Joseph Conrad
1804,1804,13060,Charles Aznavour
1805,1805,1025805,Eddy Jimmy Martin & Anthony Serra
1806,1806,671931,P2
1807,1807,118843,Henri Salvador
1808,1808,362913,Gilles Vigneault
1809,1809,26055,Alain Souchon
1830,1830,139656,Cosculluela
1833,1833,1579369,Jon Z
1835,1835,1675906,Casper Mágico
1860,1860,498,Beyoncé
1861,1861,216609,Fetty Wap
1863,1863,563,Queen
1866,1866,1304579,Queen Naija
1869,1869,15740,Lana Del Rey
1930,1930,354949,Juan Gabriel
1940,1940,2300,Adele
1960,1960,155057,Deorro
1965,1965,619176,Deorro & Will Sparks
1970,1970,346345,Pepe Aguilar
1971,1971,1742609,Angela Aguilar & Pepe Aguilar
2000,2000,371779,Carlos Rivera
2020,2020,654589,Terror Jr
2030,2030,182312,Zoey Dollaz
2031,2031,1602083,Nimo & Capo
2032,2032,43573,FAUVE
2033,2033,859,Gorilla Zoe
2034,2034,68584,Zoé
2037,2037,1254604,Zoe Saldana
2038,2038,508798,Zoë Kravitz
2050,2050,1052299,Hailee Steinfeld & Grey
2051,2051,547449,Hailee Steinfeld
2052,2052,1659828,Hailee Steinfeld & Alesso
2053,2053,1315984,Hailee Steinfeld & BloodPop®
2060,2060,352970,Ha-Ash
2080,2080,67223,Yuridia
2151,2151,1168197,Dante Klein & The 87's
2152,2152,641746,Dante Klein
2153,2153,1361063,Dante Klein & Dylan Jagger
