,AUTOR,TITULO,LETRA
0,Juan Gabriel,Amor Eterno (En Vivo) (En el Palacio de Bellas Artes) by Juan Gabriel,"tu eres la tristeza de mis ojos que lloran en silencio por tu amor me miro, en el espejo veo en mi rostro el tiempo que he sufrido por tu adiós obligo a que te olvide el pensamiento pues siempre estoy pensando en ayer prefiero estar dormido que despierto de tanto que me duele que no estés cómo quisiera que tu vivieras que tus ojitos jamás se hubieran cerrado nunca y estar mirándolos amor eterno e inolvidable tarde o temprano estaré contigo para seguir... amándonos yo he sufrido mucho por tu ausencia desde ese dia hasta hoy no soy feliz aunque tengo tranquila mi conciencia se que pude haber yo hecho más por ti oscura soledad estoy viviendo la misma soledad de tu sepulcro tu eres el amor del cual yo tengo el más triste recuerdo de acapulco cómo quisiera..."
1,Juan Gabriel,Yo No Nací Para Amar by Juan Gabriel,"a mis dieciseis anhelaba tanto un amor que no llego siempre lo espere, todos mis amigos se encontraban en la misma situación y después yo vi como iban cambiando su manera de vivir todos con su amor, cada uno de ellos muy sonrientes, muy felices, menos yo una soledad cada vez más triste y más oscura, yo viví y a esa edad todos preguntaban los motivos yo solía siempre decir yo no nací para amar nadie nació para mi tan solo fui un loco soñador, no más yo no nací para amar nadie nació para mí mis sueños nunca se volvieron, realidad siempre lo busque pero nunca pude encontrar ese amor siempre lo espere y en todas partes que esperaba, ese amor nunca llego hoy mi soledad cada vez más triste y más oscura pueden ver y en esta edad aun me preguntan mis amigos y es tan triste responder yo no nací para amar nadie nació para mí tan solo fui un loco soñador, no más yo no nací para amar nadie nació para mí mis sueños nunca se volvieron, realidad yo no nací para amar nadie nació para mí tan solo fui un loco soñador, no más yo no nací para amar nadie nació para mí mis sueños no se realizaron yo no nací, para amar"
2,Juan Gabriel,Querida by Juan Gabriel,"querida, cada momento de mi vida yo pienso en ti más cada día mira mi soledad, mira mi soledad que no me sienta nada bien oh, ven ya querida, no me ha sanado bien la herida te extraño y lloro todavía mira mi soledad, mira mi soledad que no me sienta nada bien oh, ven ya querida, piensa en mí sólo un momento y ven date cuenta de que el tiempo es cruel y lo he pasado yo sin ti oh, ven ya, ah, ah querida, hazlo por quien más quieras tú yo quiero ver de nuevo luz en toda mi casa oh, oh, querida ven a mí que estoy sufriendo ven a mí que estoy muriendo en esta soledad, en esta soledad que no me sienta nada bien, ven querida, por lo que quieras tú más ven más compasión de mí tú ten mira mi soledad, mira mi soledad que no me sienta nada bien querida querida dime cuando tú dime cuando tú dime cuando tú vas a volver, ajai dime cuando tú dime cuando tú dime cuando tú vas a volver querida, eje querida dime cuando tú dime cuando tú dime cuando tú vas a volver, ajai dime cuando tú dime cuando tú dime cuando tú vas a volver ajá, ajá, tú, ven a mi soledad, tú yo no puedo ni te quiero olvidar, auh dime cuando tú, hey, tú dime cuando tú, hey, tú"
3,Juan Gabriel,Abrázame Muy Fuerte by Juan Gabriel,"cuando tú estás conmigo es cuando yo digo que valió la pena todo, todo lo que yo he sufrido no sé si es un sueño aún o es una realidad pero cuando estoy contigo es cuando digo: que este amor que siento es porque tú lo has merecido con decirte amor que otra vez he amanecido llorando de felicidad; a tu lado yo siento que estoy viviendo nada es como ayer abrázame que el tiempo pasa y él nunca perdona ha hecho estragos en mi gente como en mi persona abrázame que el tiempo es malo y muy cruel amigo abrázame que el tiempo es oro si tú estas conmigo abrázame fuerte, muy fuerte, y más fuerte que nunca siempre abrázame hoy que tú estás conmigo yo no sé si está pasando el tiempo o tú lo has detenido así quiero estar por siempre aprovecho que estás tú conmigo te doy gracias por cada momento de mi vivir tú cuando mires para el cielo por cada estrella que aparezca amor es un ""te quiero"" abrázame que el tiempo hiere y el cielo es testigo que el tiempo es cruel y a nadie quiere por eso te digo: abrázame muy fuerte amor, manténme así a tu lado yo quiero agradecerte amor todo lo que me has dado quiero corresponderte de una forma u otra a diario; amor yo nunca del dolor he sido partidario pero a mí me toco sufrir cuando confié y creí en alguien que juró que daba su vida por mi abrázame que el tiempo pasa y ese no se detiene abrázame muy fuerte amor que el tiempo en contra viene abrázame que dios perdona, pero el tiempo a ninguno abrázame que no le importa saber quien es uno abrázame que el tiempo pasa y él nunca perdona ha hecho estragos en mi gente como en mi persona abrázame que el tiempo es malo y muy cruel amigo abrázame muy fuerte amor"
4,Juan Gabriel,Hasta Que Te Conoci by Juan Gabriel,"no sabía de tristezas, ni de lagrimas, ni nada que me hicieran llorar yo sabía de cariño, de ternura porque a mí desde pequeño eso me enseñó mamá eso me enseño mamá eso y muchas cosas más yo jamás sufrí, yo jamás lloré yo era muy feliz....yo vivía muy bien yo vivía tan distino, algo hermoso, algo divino lleno de felicidad yo sabía de alegrias, la belleza de la vida pero no de soledad, pero no de soledad de eso y muchas cosas más yo jamas sufrí, yo jamas lloré yo era muy feliz....yo vivía muy bien hasta que te conocí vi la vida con dolor no te miento, fuá feliz aunque con muy poco amor y muy tarde comprendí que no te debía amar porque ahora pienso en tí más que ayer, mucho más (bis) yo jamas sufrí, yo jamas lloré yo era muy feliz... pero te encontré (ándale) ahora quiero que me digas si valió o no la pena el haberte conocido porque no te creo más y es que tú fuiste muy mala si, muy mala conmigo por eso no te quiero no te quiero ver jamás vete, vete, vete vete de mi vera vete a dondequiera vete, no te quiero no te quiero ver jamás vete, vete..."
5,Juan Gabriel,Así Fue (En Vivo) by Juan Gabriel,"perdona si te hago llorar perdona si te hago sufrir pero es que no esta en mis manos pero es que no esta en mis manos me he enamorado, me he enamorado me enamore perdona si te causo dolor perdona si te digo adios como decirle que te amo como decirle que te amo si me ha preguntado yo le dije que no yo le dije que no soy honesto con ella y contigo a ella la quiero y a ti te he olvidado si tu quieres seremos amigos yo te ayudo a olvidar el pasado no te aferres, ya no te aferres a un imposible, ya no te hagas ni me hagas mas daño ya noooo tu bien sabes que no fue mi culpa tu te fuiste y sin decirme nada y apesar que llore como nunca ya no seguias de mi enamorada luego te fuiste y que regresabas no me dijiste y sin mas nada ¿por que? no se pero fue asi asi fue te brinde la mejor de las suertes yo me propuse no hablarte, no verte y hoy que has vuelto ya de eso no hay nada ya no debo, no puedo quererte ya no te amo!, me he enamorado de un ser divino, de un buen amor que me enseño, a olvidar y a perdonar soy honesto con ella y contigo a ella la quiero, a ti te he olvidado pero si tu quieres seremos amigos yo te ayudo a olvidar el pasado no te aferres, ya no te aferres a un imposible, ya no te hagas ni me hagas mas daño ya nooo!!! no no no no no no nonoooooo na na na na na na ehhhh"
6,Juan Gabriel,¿Por Qué Me Haces Llorar? by Juan Gabriel,"para que me haces llorar que no vez como te quiero y para que me haces sufrir que no vez que más no puedo yo nunca, nunca había llorado y menos de dolor, ni nunca nunca había tomado y menos por un amor por que me haces llorar y te burlas de mí si sabes tu muy bien que yo no se sufrir yo me voy a emborrachar a no saber de mí que lo sepan que hoy lloré y que hoy me emborrache por ti si yo nunca, nunca había llorado y menos de dolor, ni nunca, nunca, nunca había tomado y menos por un amor por que me haces llorar y te burlas de mí si sabes tu muy bien que yo no se sufrir yo me voy a emborrachar a no saber de mí que sepan todos que hoy lloré y que hoy me emborrache por ti"
7,Juan Gabriel,He Venido A Pedirte Perdón by Juan Gabriel,"canto de tristeza por que lo nuestro terminó te vas, ya nunca volverás te olvidarás de mí y hoy muy triste me quedo solo,sin tí que seas muy felíz deseo mi amor que nunca llores que nunca sufras así escucha esta canción que escribí para tí, mi amor con esta mi canción he venido a pedirte perdón que nunca llores que nunca sufras así que encuentres cariño y todo el amor que yo jamás te pude dar; tu que eres tan buena mereces ternura y cariño; yo tuve la culpa de todo no supe tu amor aquilatar merezco tu olvido y tu ausencia ya nunca tendré más tu amor adiós , mi amor hoy con esta canción que escribí para tí, mi amor he venido a pedirte que perdones por favor,por amor, mi error, mi acción sé que núnca tú querras volver y yo quiero por último decirte amor que yo te seguiré amando adiós, mi amor hoy con esta canción que escribí para tí, mi amor he venido a pedirte que perdones por favor, por amor, mi error .  se que nunca .  adiós, mi amor, "
8,Juan Gabriel,Vienes O Voy (feat. Fifth Harmony) by Juan Gabriel (Ft. Fifth Harmony),"(¿vienes o voy? ¿vienes o voy? ¿vienes o voy?  ¿vienes o voy?) ¿vienes o voy?, más vale que vengas pues yo si voy en vano, sabes que no iré estoy enamorada y cuando estoy desesperada soy capaz de todo de una forma o de mil modos hago cuanto puedo porque debo y porque quiero estar con mi amor ¿vienes o voy, piensalo bien vuelve pronto ahora con un ser que mas te adora y de los 2 ya sabes quien es si yo de aquí me muevo veras que no es un juego mira soy tu amigo y en todo estoy contigo te comprendo que no puedes más pero yo quiero más oye ¿vienes o voy? todo por estar contigo todo lo haré, todo lo haré nosotros somos más que amigos y acuérdate, y acuérdate que cumplo todo lo que digo así es que ven, así es que ven te advierto que si voy me quedo tal y no te haré ni quiero y problemas yo te juro no te causare oye última vez, (última vez) ¿vienes o voy, vienes o voy? para estar aquí en mis brazos y un día más te doy de plazo ni un día más ¿cómo ves? (uhh) me llamas y me dices que me amas y me extrañas no me es suficiente porque tengo muchas ganas de verte, de amarte, tentarte y hacerte lo que a ti te gusta más (¿vienes o voy?) todo por estar contigo todo lo haré, todo lo haré nosotros somos más que amigos y acuérdate, y acuérdate que cumplo todo lo que digo así es que ven, así es que ven te advierto que si voy me quedo tal y no te haré ni quiero y problemas yo te juro no te causare oye yeah eah woah woah oh, oh oh, oh no ¿vienes o voy? ¿vienes o voy? todo por estar contigo (todo por estar contigo) todo lo haré (todo lo haré), todo lo haré (todo lo haré) nosotros somos más que amigos y acuérdate, y acuérdate que cumplo todo lo que digo {que digo} así es que ven, así es que ven te advierto que si voy me quedo tal y no te haré ni quiero y problemas yo te juro no te causare oye ¿vienes o voy?"
9,Juan Gabriel,Se Me Olvido Otra Vez by Juan Gabriel,se me olvido otra vez probablemente ya de mi te has olvidado y mientras tanto yo te seguiré esperando no me querido ir para ver si algún día que tu quieras volver me encuentres todavía por eso aún estoy en el lugar de siempre en la misma cuidad y con la misma gente para que tu al volver no encuentres nada extraño y sea como ayer y nunca mas dejarnos probablemente estoy pidiendo demasiado se me olvidaba que ya habíamos terminado que nunca volverás que nunca me quisiste se me olvidó otra vez que sólo yo te quise
