,acousticness,album_name,artist,artist_followers,artist_genres,artist_popularity,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,lyrics,mode,speechiness,tempo,time_signature,track_name,track_popularity,valence
0,0.187,El Dorado,"Shakira,Maluma",15589793.0,"colombian pop,dance pop,latin,latin pop,mexican pop,pop",83.0,0.852,195840.0,0.773,0.0,3.05e-05,8.0,0.159,-2.921,"cuando estás bien te alejas de mí te sientes sola y siempre estoy ahí es una guerra de toma y dame pues dame de eso que tienes ahí oye, baby, no seas mala no me dejes con las ganas se escucha en la calle que ya no me quieres ven y dímelo en la cara pregúntale a quien tú quieras vida, te juro que eso no es así yo nunca tuve una mala intención yo nunca quise burlarme de ti conmigo ves, nunca se sabe un día digo que no y otro que sí yo soy masoquista con mi cuerpo un egoísta tú eres puro, puro chantaje puro, puro chantaje siempre es a tu manera yo te quiero aunque no quiera tú eres puro, puro chantaje puro, puro chantaje vas libre como el aire no soy de ti ni de nadie como tú me tientas, cuando tú te mueves esos movimientos sexys, siempre me entretienen sabes manipularme bien con tus caderas no sé porque me tienes en lista de espera te dicen por ahí que voy haciendo y deshaciendo que salgo cada noche, que te tengo ahí sufriendo que en esta relación soy yo la que manda no pares bola' a toda esa mala propaganda pa', pa' que te digo na', te comen el oído no vaya a enderezar lo que no se ha torcido y como un loco sigo tras de ti, muriendo por ti dime qué hay pa' mí, bebé (¿qué?) pregúntale a quien tú quieras vida, te juro que eso no es así yo nunca tuve una mala intención yo nunca quise burlarme de ti conmigo ves, nunca se sabe un día digo que no, y otro que sí yo soy masoquista con mi cuerpo un egoísta tú eres puro, puro chantaje puro, puro chantaje siempre es a tu manera yo te quiero aunque no quiera tú eres puro, puro chantaje puro, puro chantaje vas libre como el aire no soy de ti ni de nadie eh-eh-eh, nadie eh-eh-eh, nadie eh-eh-eh, nadie con mi cuerpo, un egoísta tú eres puro, puro chantaje puro, puro chantaje siempre es a tu manera yo te quiero aunque no quiera tú eres puro, puro chantaje puro, puro chantaje vas libre como el aire no soy de ti ni de nadie eh-eh-eh, nadie eh-eh-eh, nadie eh-eh-eh, nadie eh-eh-eh-eh-eh-eh (alright alright, baby, shakira, maluma) pretty boy (you're my baby loba, colombia, you feel me?) pretty boy",0.0,0.0776,102.034,4.0,Chantaje (feat. Maluma),78.0,0.907
1,0.4,Primera Cita,CNCO,5182695.0,"boy band,latin,latin pop,pop,reggaeton,tropical",78.0,0.761,222560.0,0.838,0.0,0.0,4.0,0.176,-3.073,"qué bien se ve me trae loco su figura ese trajecito corto le queda bien combinado con su lipstick color café qué bien se ve me hipnotiza su cintura cuando baila hasta los dioses la quieren ver ya no perderé más tiempo, me acercaré yo sólo la miré y me gustó me pegué y la invité: “bailemos, eh?” la noche está para un reggaetón lento de esos que no se bailan hace tiempo yo sólo la miré y me gustó me pegué y la invité: “bailemos, eh?” la noche está para un reggaetón lento de esos que no se bailan hace tiempo permíteme bailar contigo esta pieza entre todas las mujeres se resalta tu belleza me encanta tu firmeza, te mueves con destreza muévete, muévete, muévete muy rica, latina, estás llena de vida sube las dos manos, dale pa´ arriba ¿dónde están las solteras y las que no, también? sin miedo muévete, muévete, muévete yo sólo la miré y me gustó me pegué y la invité: “bailemos, eh?” la noche está para un reggaetón lento de esos que no se bailan hace tiempo yo sólo la miré y me gustó me pegué y la invité: “bailemos, eh?” la noche está para un reggaetón lento de esos que no se bailan hace tiempo baila conmigo la noche está para un reggaetón lento de esos que no se bailan hace tiempo i know you like it when i take you to the floor i know you like this reggaetón lento this ain't stopping baby till i say so come get - come get some more es imposible atrasar las horas cada minuto contigo es un sueño quisiera ser su confidente ¿por qué no te atreves si lo hacemos ahora? no te pongas tímida estamos tú y yo a solas yo sólo la miré y me gustó me pegué y la invité: “bailemos, eh?” la noche está para un reggaetón lento de esos que no se bailan hace tiempo yo sólo la miré y me gustó me pegué y la invité: “bailemos, eh?” la noche está para un reggaetón lento de esos que no se bailan hace tiempo yo sólo la miré y me gustó me pegué y la invité: “bailemos, eh?” la noche está para un reggaetón lento de esos que no se bailan hace tiempo yo sólo la miré y me gustó me pegué y la invité: “bailemos, eh?” la noche está para un reggaetón lento de esos que no se bailan hace tiempo muévete, muévete báilalo, báilalo la noche está para un reggaetón lento de esos que no se bailan hace tiempo muévete, muévete báilalo, báilalo la noche está para un reggaetón lento de esos que no se bailan hace tiempo ¿que quiénes somos? ¡cnco! qué bien se ve me trae loco su figura ese trajecito corto le queda bien combinado con su lipstick color café qué bien se ve",0.0,0.0502,93.974,4.0,Reggaetón Lento (Bailemos),77.0,0.71
2,0.00431,Vente Pa' Ca,"Ricky Martin,Maluma",4453926.0,"dance pop,latin,latin pop,mexican pop,pop,tropical",73.0,0.663,259196.0,0.92,0.0,1.69e-05,11.0,0.101,-4.07,"ven, te cuento de una vez tu descanso está en la cama de mis pies ven, te cuento un, dos, tres mis pasitos son descalzos, sin estrés dime si hay otro lugar para dejar mi corazón (mi corazón) ay, tienes razón mejor, ¿por qué no nos vamos los dos? si tú quieres nos bañamos si tú quieres nos soplamos pa’ secarnos lo mojao si tu boca quiere beso y tu cuerpo quiere de eso, arreglamos si tú quieres un atajo y lo quieres por abajo yo te llevo bien callao’ vente pa’ ca vente pa’ ca vente pa’ ca, ah-auh enamorados, qué calor nos comimos boca a boca en el sillón fue por hambre, fue por sed me bebiste a fondo blanco con tu piel dime si hay otro lugar para dejar mi corazón (mi corazón) ay, tienes razón mejor, ¿por qué no nos vamos los dos? si tú quieres nos bañamos si tú quieres nos soplamos pa’ secarnos lo mojao si tu boca quiere beso y tu cuerpo quiere de eso, arreglamos si tú quieres un atajo y lo quieres por abajo yo te llevo bien callao’ vente pa’ ca vente pa’ ca vente pa’ ca, ah-auh (all right, too right baby pretty boy, dirty boy, baby) como baila y me seduce y cuando le apagan las luces ella se luce y yo se lo hago otra vez (otra vez) eh-yeh llevo tanto tiempo mirando reaccionar dime qué estás esperando baby, no hay demora pégate a mí, bien rico a mí no dejes que pasen las horas (uh-uh) tu booty me arrebata tu sonrisa me atrapa quiero tenerte siempre y no dejarte sola esta historia no se acaba ven vamos pa’ mi cama esta noche tú te enamoras dime de una vez si es que al lado tuyo yo estaré todo lo que pidas te daré esta noche tú te enamoras si tú quieres nos bañamos si tú quieres nos soplamos pa’ secarnos lo mojao si tu boca quiere beso y tu cuerpo quiere de eso, arreglamos si tú quieres un atajo y lo quieres por abajo yo te llevo bien callao’ vente pa’ ca vente pa’ ca vente pa’ ca, ah-auh",0.0,0.226,99.935,4.0,Vente Pa' Ca,75.0,0.533
3,0.551,Energía,"J Balvin,Pharrell Williams,BIA,Sky",13303709.0,"latin,pop,reggaeton",92.0,0.508,205600.0,0.687,0.0,3.41e-06,0.0,0.126,-4.361,"a ella le gus- a ella le gus- a ella le gus- a ella le gusta (leggo') a mí me gusta (bebé) a ella le gusta (así bebé) bailar me gusta (baila pa' mi) a ella le gusta mami mami con tu body a mí me gusta este party es un safari a ella le gusta todos miran como bailas a mí me gusta hoy tú andas con un animal a ella le gusta mami mami con tu body a mí me gusta este party es un safari a ella le gusta todos miran como bailas a mí me gusta hoy tú andas, baila pa’ mi a ella le gusta vente conmigo a mí me gusta solo conmigo a ella le gusta vente conmigo a mí me gusta a sola conmigo a ella le gusta vente conmigo a mí me gusta a sola conmigo a ella le gusta vente conmigo a mí me gusta a sola conmigo todo ese cuerpo que tú tienes me vuelve loco y más cuando bailas pa’ mi esa mirada provoca y tú toda loca te muerdes los labios cuando suena el beat oye papi vamos con mis amigas para el party tengo algo por un animal cuando mi gente está aquí hay tsunami wavy así es lo que me gusta you know i like it when tu fresco me llamó princesa voy a coger provecho porque me gusta you know i like it when tu fresco me llamó princesa voy a coger provecho a ella le gusta (leggo') a mí me gusta (bebé) así le gusta (así bebé) bailar me gusta (baila pa' mi) a ella le gusta mami mami con tu body a mí me gusta este party es un safari a ella le gusta todos miran como bailas a mí me gusta hoy tu andas con un animal a ella le gusta mami mami con tu body a mí me gusta este party es un safari a ella le gusta todos miran como bailas a mí me gusta hoy tu andas, baila pa’ mi a ella le gusta vente conmigo a mí me gusta solo conmigo a ella le gusta vente conmigo a mí me gusta a sola conmigo a ella le gusta vente conmigo a mí me gusta a sola conmigo a ella le gusta vente conmigo a mí me gusta a sola conmigo saca la fiera que llevas ahí ese instinto salvaje que me gusta cuando se pone de espaldas y empiezo a mirarla la tela me arranca y seguimos así oye papi vamos con mis amigas para el party tengo algo por un animal cuando mi gente está aquí hay tsunami  wavy así es lo que me gusta you know i like it when  tu fresco me llamó princesa voy a coger provecho lo que me gusta you know i like it when  tu fresco me llamó princesa voy a coger provecho a ella le gusta (leggo') a mí me gusta (bebé) a ella le gusta (asi bebé) bailar me gusta (baila pa' mi) a ella le gusta a mí me gusta a ella le gusta a mí me gusta",1.0,0.326,180.044,4.0,Safari,15.0,0.555
4,0.0559,Motivan2,"Zion & Lennox,J Balvin",3187460.0,"latin,latin hip hop,latin pop,pop,reggaeton,tropical",83.0,0.832,209453.0,0.772,0.0,0.000486,10.0,0.44,-5.429,"el sólo verte me dan ganas (precisamente en cartagena) infinity después de tanto me buscas ¿por qué será? ¿por qué a mi?, yeh no te puedes ir sin contestar esa pregunta ¿qué es lo que quieres? ¿qué necesidad es la que tienes? para seducirme otra vez besarme otra vez volverme a poner el mundo al revés pa' besarte como ayer sentirte otra vez me vuelves a poner el mundo al revés como ayer, yeh la ""z"" y la ""l"" el sólo verte me dan ganas de viajar al pasado y rescatar (brrr-yeh) esos momentos que tú y yo compartimos (su-su-su) las ganas de rumbear eran noches de nunca terminar (ay) vivíamos en una fantasía, pero era real (de verdad) lo que sentimos (mamacita) lo que hicimos (toma) la casualidad que nos viéramos en la misma disco aprovechemos que nos vimos (ajá) lo que sentimos (mamacita) lo que hicimos (ah) la casualidad que nos viéramos en la misma disco dale mami que nos fuimos para seducirme otra vez besarme otra vez volverme a poner el mundo al revés pa' besarte como ayer sentirte otra vez me vuelves a poner el mundo al revés como ayer j balvin, man hoy vuelve a aparecer bajo la luna llena, sirena precisamente en cartagena, déjame revivir esto es un placer ba-ba-baila que la noche es tuya, que el ritmo intuya pónle picante, que el amor fluya nos dimos cuenta que no había un final esto no tiene porque terminar (ouh-ouh) (de verdad) lo que sentimos (mamacita) lo que hicimos (toma, dale) no es casualidad que nos viéramos en la misma disco aprovechemos que nos vimos (ajá) lo que sentimos (mamacita) lo que hicimos (toma, dale) no es casualidad que nos viéramos en la misma disco dale mami que nos fuimos para seducirme otra vez besarme otra vez volverme a poner el mundo al revés pa' besarte como ayer sentirte otra vez me vuelves a poner el mundo al revés como ayer, yeh z diddy j balvin, man zion, baby la ""z"" y la ""l"" y lennox leggo' j balvin sky rompiendo el bajo mo-mo-mosty bull nene infinity leggo' infinity music (para seducirme otra vez) baby records (besarme otra vez) (volverme a poner el mundo al revés como ayer, yeh) la ""z"" y la ""l""",1.0,0.1,96.016,4.0,Otra Vez (feat. J Balvin),76.0,0.704
5,0.198,El Dorado,"Carlos Vives,Shakira",2734409.0,"champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato",75.0,0.736,227707.0,0.964,0.0,2.32e-06,0.0,0.336,-2.147,"nada voy a hacer rebuscando en las heridas del pasado no voy a perder yo no quiero ser un tipo de otro lado a tu manera, descomplicado en una bici que te lleve a todos lados un vallenato desesperado una cartica que yo guardo donde te escribí que te sueño y que te quiero tanto que hace rato esta mi corazón latiendo por ti, latiendo por ti la que yo guardo donde te escribí que te sueño y que te quiero tanto que hace rato está mi corazón latiendo por ti, latiendo por ti puedo ser feliz caminando relajada entre la gente yo te quiero así y me gustas porque eres diferente a mi manera, despelucado en una bici que me lleva a todos lados un vallenato desesperado una cartica que yo guardo donde te escribí que te sueño y que te quiero tanto que hace rato está mi corazón latiendo por ti, latiendo por ti la que yo guardo donde te escribí que te sueño y que te quiero tanto que hace rato está mi corazón latiendo por ti, latiendo por ti ella es la favorita, la que cantan la zona se mueve sus caderas como un barco en las olas tiene los pies descalzos como un niño que adora y su cabello largo son un sol que te antoja le gusta que le digan que la niña, la lola le gusta que la miren cuando ella baila sola le gusta más la casa que no pasen las horas le gusta barranquilla, le gusta barcelona lleva, llévame en tu bicicletaóyeme, carlos, llévame en tu bicicleta quiero que recorramos juntos esa zona desde santa marta hasta la arenosa lleva, llévame en tu bicicleta pa' que juguemos bola e'trapo alla chancleta que si a pique algún día le muestras el tayrona después no querrá irse pa' barcelona a mi manera, descomplicado en una bici que me lleva a todos lados un vallenato desesperado una cartica que yo guardo donde te escribí que te sueño y que te quiero tanto de hace rato está mi corazón latiendo por ti, latiendo por ti la que yo guardo donde te escribí que te sueño y que te quiero tanto que hace rato está mi corazón latiendo por ti, latiendo por ti lleva, llévame en tu bicicleta óyeme, carlos, llévame en tu bicicleta que si a pique algún día le muestras el tayrona después no querrá irse pa' barcelona lleva, llévame en tu bicicleta óyeme, carlos, llévame en tu bicicleta que si a mi piqué tu le muestres el tayrona después no querrá irse pa' barcelona",1.0,0.129,179.935,4.0,La Bicicleta,64.0,0.953
6,0.142,Traicionera,Sebastian Yatra,6089445.0,colombian pop,86.0,0.776,228467.0,0.669,0.0,0.0,11.0,0.219,-4.933,"sebastián yatra yatra, yatra tú me dices que no es cierto que te mueres por mí si es verdad que no te gusto no te acerques así me dijeron que te encanta que se mueran por ti buscando al que se enamora para hacerlo sufrir si me dices que me amas no te voy a creer, no tú me dices que me quieres y no puedes ser fiel, no me dejaste manejando solo y triste mujer, no te confieso si lo quieres saber, si lo quieres saber, yeh traicionera, no me importa lo que tú me quieras mentirosa, sólo quieres que de amor me muera traicionera, en mi vida fuiste pasajera mentirosa, no me importa que de amor te mueras ohh, ohh mentirosa, no me importa que de amor te mueras sigues bailando reggaeton, ton, ton y no te importa para nada lo que sienta el corazón solo te importa el pantalón, lon, lon y se te nota desde lejos tu maléfica intención y mira, no es tan fácil enamorarme nunca fue tan fácil cuando estás cerca de mí no es fácil y es que la vida se volvió difícil sólo por ti si me dices que me amas no te voy a creer, no tú me dices que me quieres y no puedes ser fiel, no me dejaste manejando solo y triste mujer, no te confieso si lo quieres saber, si lo quieres saber traicionera, no me importa lo que tu me quieras mentirosa, solo quieres que de amor me muera traicionera, en mi vida fuiste pasajera mentirosa, no me importa que de amor te mueras ohh, ohh mentirosa, no me importa que de amor te mueras tú me dices que no es cierto que te mueres por mi si es verdad que no te gusto no te acerques así traicionera, no me importa lo que tú me quieras mentirosa, sólo quieres que de amor me muera traicionera, en mi vida fuiste pasajera mentirosa, no me importa que de amor te mueras ohh, ohh mentirosa, no me importa que de amor te mueras ohh, ohh mentirosa, no me importa que de amor te mueras sebastian yatra yatra, yatra",1.0,0.0638,91.012,4.0,Traicionera,13.0,0.661
7,0.414,Closer,"The Chainsmokers,Halsey",11264221.0,"dance pop,edm,electropop,pop,tropical house",88.0,0.748,244960.0,0.524,0.0,0.0,8.0,0.111,-5.599,"hey, i was doing just fine before i met you i drink too much and that's an issue, but i'm okay hey, you tell your friends it was nice to meet them but i hope i never see them again i know it breaks your heart moved to the city in a broke-down car and four years, no calls now you're lookin' pretty in a hotel bar and i-i-i can't stop no, i-i-i can't stop so, baby, pull me closer in the backseat of your rover that i know you can't afford bite that tattoo on your shoulder pull the sheets right off the corner of the mattress that you stole from your roommate back in boulder we ain't ever getting older we ain't ever getting older we ain't ever getting older you look as good as the day i met you i forget just why i left you, i was insane stay and play that blink-182 song that we beat to death in tucson, okay i know it breaks your heart moved to the city in a broke-down car and four years, no call now i'm lookin' pretty in a hotel bar and i-i-i can't stop no, i-i-i can't stop so, baby, pull me closer in the backseat of your rover that i know you can't afford bite that tattoo on your shoulder pull the sheets right off the corner of the mattress that you stole from your roommate back in boulder we ain't ever getting older we ain't ever getting older we ain't ever getting older so, baby, pull me closer in the backseat of your rover that i know you can't afford bite that tattoo on your shoulder pull the sheets right off the corner of the mattress that you stole from your roommate back in boulder we ain't ever getting older we ain't ever getting older (no, we ain't ever getting older) we ain't ever getting older (no, we ain't ever getting older) we ain't ever getting older (we ain't ever getting older) we ain't ever getting older (no, we ain't ever getting older) (we ain't ever getting older) (no, we ain't ever getting older)",1.0,0.0338,95.01,4.0,Closer,86.0,0.661
8,0.076,Shaky Shaky,Daddy Yankee,10449505.0,"latin,latin hip hop,pop,reggaeton,tropical",91.0,0.899,234320.0,0.626,0.0,0.0,6.0,0.0631,-4.228,"'tamo en vivo sube sube sube el mic mic que vamo', que vamo' que vamos pa' la gozadera full baby shaky, shaky, shaky, shaky, shaky, shaky, shaky shaky, shaky, shaky, shaky, shaky, shaky, shaky shaky, shaky, shaky, shaky, shaky, shaky, shaky cómo es, dame una vueltita otra vez shaky, shaky, shaky, shaky, shaky, shaky, shaky shaky, shaky, shaky, shaky, shaky, shaky, shaky shaky, shaky, shaky, shaky, shaky, shaky, shaky tú la vez, como hace lo suyo, tú la vez la zona destroza, que esto es otra cosa esto es para todas las bebas que se ponen rabiosa' están peligrosa', con la curva nitrosa se cae la casa cuando ella rompe la loza terremoto (¡terremoto!) terremoto (¡terremoto!) terremoto (¡terremoto!) terremoto, dale duro terremoto (¡terremoto!) terremoto (¡terremoto!) terremoto (¡terremoto!) terremoto, dale duro te pones bien loca, cuando a ti te toca to'! la sandunga en ese bomper te choca choca tu no bailas como yo, tu no bailas como yo mucho piquete, mucho flow, flow lo matamos con el shaky, shaky, shaky, shaky, shaky, shaky, shaky shaky, shaky, shaky, shaky, shaky, shaky, shaky shaky, shaky, shaky, shaky, shaky, shaky, shaky cómo es, dame una vueltita otra vez shaky, shaky, shaky, shaky, shaky, shaky, shaky shaky, shaky, shaky, shaky, shaky, shaky, shaky shaky, shaky, shaky, shaky, shaky, shaky, shaky tú la vez, como hace lo suyo, tú la vez las botellas arriba, el combo en la mesa y salen fieras por naturaleza vamos a ver to'as las chapis en candela hay que llevarlas pa' la vieja escuela ahí es que va apreta' echa todo eso pa' acá las nalgas para atrás y tra tra tra tra ahí es que va apreta' echa todo eso pa' acá las nalgas para atrás y tra tra tra tra con todo y jean sitea el dutty, cuando le rozo el booty le tiro sustancia más caliente que el churi ella es otro level, cuando me lo mueve son par de rafagazos sin llevar una nueve si explota como un peine, yo exploto como un largo me deben la pista y su cintura la embargo le gusta la pesca, porque es una fresca si esta pa' el bailoteo, que se coma este pargo shaky, shaky, shaky, shaky, shaky, shaky, shaky shaky, shaky, shaky, shaky, shaky, shaky, shaky shaky, shaky, shaky, shaky, shaky, shaky, shaky cómo es, dame una vueltita otra vez shaky, shaky, shaky, shaky, shaky, shaky, shaky shaky, shaky, shaky, shaky, shaky, shaky, shaky shaky, shaky, shaky, shaky, shaky, shaky, shaky tú la vez, tiene una sandunga en esos pies terremoto (¡terremoto!) terremoto (¡terremoto!) terremoto (¡terremoto!) terremoto, dale duro terremoto (¡terremoto!) terremoto (¡terremoto!) terremoto, fuimo' que mueva to' lo que tiene que mueva to' lo que tiene que mueva to' lo que tiene vamos a ver como lo sostiene que mueva to' lo que tiene que mueva to' lo que tiene que mueva to' lo que tiene vamos a ver como lo sostiene con el... shaky, shaky, shaky, shaky, shaky, shaky, shaky shaky, shaky, shaky, shaky, shaky, shaky, shaky shaky, shaky, shaky, shaky, shaky, shaky, shaky cómo es, dame una vueltita otra vez shaky, shaky, shaky, shaky, shaky, shaky, shaky shaky, shaky, shaky, shaky, shaky, shaky, shaky shaky, shaky, shaky, shaky, shaky, shaky, shaky tú la vez, como ella te vira alrevés ay, y el la zona es el daddy yankee el rey del micro en la impro, como me filtro por esos gistro dj urba vamos pa, la, vamos pa, la, vamos pa' la rumba oye rome que pa' esta liga no se asomen one take e-e-evo jedis",0.0,0.292,88.007,4.0,Shaky Shaky,11.0,0.873
9,0.165,Starboy,"The Weeknd,Daft Punk",14917827.0,"canadian contemporary r&b,canadian pop,pop,rap",89.0,0.681,230453.0,0.594,1.0,3.49e-06,7.0,0.134,-7.028,"i'm tryna put you in the worst mood, ah p1 cleaner than your church shoes, ah milli point two just to hurt you, ah all red lamb’ just to tease you, ah none of these toys on lease too, ah made your whole year in a week too, yah main bitch out your league too, ah side bitch out of your league too, ah house so empty, need a centerpiece 20 racks a table cut from ebony cut that ivory into skinny pieces then she clean it with her face man i love my baby you talking money, need a hearing aid you talking bout me, i don't see the shade switch up my style, i take any lane i'm a motherfuckin' starboy look what you've done i’m a motherfuckin' starboy look what you've done i'm a motherfuckin' starboy every day a nigga try to test me, ah every day a nigga try to end me, ah pull off in that roadster sv, ah pockets overweight, gettin' hefty, ah coming for the king, that's a far cry, ah i come alive in the fall time, i no competition, i don't really listen i’m in the blue mulsanne bumping new edition house so empty, need a centerpiece 20 racks a table cut from ebony cut that ivory into skinny pieces then she clean it with her face man i love my baby you talking money, need a hearing aid you talking bout me, i don't see the shade switch up my style, i take any lane i'm a motherfuckin' starboy look what you've done i’m a motherfuckin' starboy look what you've done i'm a motherfuckin' starboy let a nigga brag pitt legend of the fall took the year like a bandit bought mama a crib and a brand new wagon now she hit the grocery shop looking lavish star trek roof in that wraith of khan girls get loose when they hear this song 100 on the dash get me close to god we don't pray for love, we just pray for cars house so empty, need a centerpiece 20 racks a table cut from ebony cut that ivory into skinny pieces then she clean it with her face man i love my baby you talking money, need a hearing aid you talking 'bout me, i don't see the shade switch up my style, i take any lane i'm a motherfuckin' starboy look what you've done i'm a motherfuckin' starboy look what you've done i'm a motherfuckin' starboy look what you've done i'm a motherfuckin' starboy look what you've done i'm a motherfuckin' starboy",1.0,0.282,186.054,4.0,Starboy,23.0,0.535
