,Unnamed: 0,artist_id,artist_name,song_id,song_title,url
17,17,1405,shakira,2892211,chantaje (ft. maluma),https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
211,211,622140,cnco,2847424,reggaeton lento (bailemos),https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
472,472,828,ricky martin,2843640,vente pa' ca (ft. maluma),https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
576,576,223925,j balvin,2494601,"safari (ft. bia, pharrell williams & sky rompiendo)",https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
691,691,403538,zion & lennox,2842852,otra vez (ft. j balvin),https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
817,817,344693,carlos vives,2480283,la bicicleta (ft. shakira),https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU
966,966,458858,sebastian yatra,2843792,traicionera,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
986,986,150934,the chainsmokers,2458848,closer (ft. halsey),https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
4926,4926,1823,daddy yankee,2455267,shaky shaky,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
5109,5109,2358,the weeknd,2954839,starboy (vicetone remix),https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
5183,5183,41287,dj snake,2819412,let me love you (ft. justin bieber),https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
5231,5231,1004541,iamchino,2862227,"ay mi dios (ft. el chacal, pitbull & yandel)",https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
5289,5289,500,bruno mars,2872960,24k magic,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
5439,5439,13539,maroon 5,2881333,don't wanna know (without rap),https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
5592,5592,1111425,christian nodal,3041075,adios amor,https://open.spotify.com/track/3OQXAp3uGQvkPi4DAMaM5p
5661,5661,106693,clean bandit,2880960,rockabye (ft. anne-marie & sean paul),https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
5716,5716,405706,piso 21,3122430,me llamas (remix) (ft. maluma),https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
5775,5775,8362,enrique iglesias,2455264,duele el corazon (ft. wisin),https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
5948,5948,405415,maluma,2268376,borro cassette,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
6040,6040,640693,ozuna,2493723,dile que tu me quieres,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o
6103,6103,358160,chino & nacho,2465030,andas en mi cabeza (ft. daddy yankee),https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
5028,5028,2358,the weeknd,2909921,i feel it coming (ft. daft punk),https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
6367,6367,26507,ariana grande,2975304,side to side (slushii remix),https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
5953,5953,405415,maluma,2881330,"cuatro babys (ft. bryant myers, juhn & noriel)",https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR
6511,6511,2069,calvin harris,2856758,my way,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
6711,6711,250301,charlie puth,2388373,we don't talk anymore (ft. selena gomez),https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
7020,7020,130,drake,2450584,one dance (ft. kyla & wizkid),https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
7353,7353,32131,wisin,2884589,vacaciones,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE
7651,7651,65238,martin garrix,3036726,in the name of love - snavs remix (ft. bebe rexha),https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
7729,7729,665,major lazer,2481759,cold water (ft. justin bieber & mø),https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
8091,8091,344914,alejandro fernandez,3257574,quiero que vuelvas,https://open.spotify.com/track/2Zw7rSucHm0MIph9gmNiSn
8190,8190,23796,twenty one pilots,2532266,heathens,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
8340,8340,343803,thalia,2445823,desde esa noche (ft. maluma),https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E
8632,8632,490779,banda sinaloense ms de sergio lizarraga,2448382,tengo que colgar,https://open.spotify.com/track/2yGNkkwU2iT0doFxkxhcXH
8662,8662,152199,farruko,2827290,chillax (ft. ky-mani marley),https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES
8887,8887,654,mike posner,749821,i took a pill in ibiza,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
9048,9048,17085,cartel de santa,2405813,leve,https://open.spotify.com/track/48yFrzTcnTCklWL9PRVZJj
9423,9423,15792,steve aoki,2958540,just hold on (ft. louis tomlinson),https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
9533,9533,339472,zayn,2435401,like i would,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
514,514,223925,j balvin,2472277,bobo,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6
9626,9626,54791,juanes,2875443,fuego,https://open.spotify.com/track/0mwPE0lPOgnWf2bo14xedJ
9739,9739,405252,ariel camacho y los plebes del rancho,1850551,te metiste,https://open.spotify.com/track/0nNTCEOzFlBTlDCx5IfLWP
9747,9747,177756,rae sremmurd,2990813,black beatles (makj remix),https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
8595,8595,490779,banda sinaloense ms de sergio lizarraga,2832554,me vas a extranar,https://open.spotify.com/track/2yS8aYWXEWJ1NlZ7VPDroT
8627,8627,490779,banda sinaloense ms de sergio lizarraga,2448394,solo con verte,https://open.spotify.com/track/5z4O1H0vFY0Nh4ZMtfgapP
10704,10704,138906,nicky jam,2415714,hasta el amanecer,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS
10782,10782,406125,sofia reyes,2886060,llegaste tu (ft. reykon),https://open.spotify.com/track/79Bm3DTEYuQsDpUVHbSRsL
5959,5959,405415,maluma,2426556,el perdedor,https://open.spotify.com/track/1iEwyiSLAunPR6uouANE0O
