,acousticness,album_name,artist,artist_followers,artist_genres,artist_popularity,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,lyrics,mode,speechiness,tempo,time_signature,track_name,track_popularity,valence
0,0.11,Con Calma,"Daddy Yankee,Snow",10385849.0,"latin,latin hip hop,pop,reggaeton,tropical",90.0,0.737,193227.0,0.86,0.0,1.94e-06,8.0,0.0574,-2.652,"d-d-d-d-d-dy play n' skillz ¡run! ¿cómo te llamas, baby? desde que te vi supe que eras pa’ mí dile a tus amigas que andamo' ready esto lo seguimo' en el after party ¿cómo te llamas, baby? (brr, brr) desde que te vi supe que eras pa’ mí dile a tus amigas que andamo' ready (¡sube!) esto lo seguimo' en el after party (su-su, ey) con calma, yo quiero ver como ella lo menea mueve ese poom-poom, girl es una asesina, cuando baila quiere que to' el mundo la vea i like your poom-poom, girl (sub-sube) con calma, yo quiero ver como ella lo menea mueve ese poom-poom, girl tiene adrenalina, en medio 'e la pista, vente, hazme lo que sea i like your poom-poom, girl (¡hey!) ya vi que estás solita, acompáñame la noche es de nosotro', tú lo sabe' (you know!) que ganas me dan-dan-dan de guayarte, mami, ese ram-pam-pam, yeah esa criminal como lo mueve e' un delito (oh) tengo que arrestarte porque empiezo y no me quito (eh) tienes criminality, pero te doy fatality vívete la película flotando en mi gravity daddy pone las regla’, tiene’ que obedecer mami, no tiene pausa, ¿qué e' lo que vas a hacer? échale, échale, échale pa’ atrás échale, échale, pa' alante y pa' atrás (eh, ey-ey-ey) con calma, yo quiero ver como ella lo menea mueve ese poom-poom, girl (girl) es una asesina, cuando baila quiere que to' el mundo la vea i like your poom-poom, girl con calma, yo quiero ver como ella lo menea (con calma) mueve ese poom-poom, girl tiene adrenalina, en medio ’e la pista, vente, hazme lo que sea i like your poom-poom, girl tú tiene' candela y yo tengo la vela llama el 911, se están quemando las suela' me daña cuando la faldita esa me la modela mami, 'tás enferma, pero tu show no lo cancela' te llaman a ti la reina del party mucha sandunga tiene ese body tírate un paso, no-no-no pare, ¡wow, dale, dale! (yo') somos dos bandido' entre la rumba y romance y zúmbale, dj, otra ve' pa' que dance échale, échale, échale pa' atrás échale, échale, pa' alante y pa' atrás (ey, eh, ey) con calma, yo quiero ver como ella lo menea (con calma) mueve ese poom-poom, girl (girl) es una asesina, cuando baila quiere que to' el mundo la vea i like your poom-poom, girl con calma, yo quiero ver como ella lo menea (con calma) mueve ese poom-poom, girl tiene adrenalina, en medio 'e la pista, vente, hazme lo que sea i like your poom-poom, girl (¡snow!) come with a nice young lady (what?) intelligent, yes, she gentle and irie (¡fuego!) everywhere me go me never lef' her at all-ie (¡dile!) yes-a daddy snow me are the roam dance man-a (¡snow!) roam between-a dancin' in-a in-a nation-a (prr-prr-prr) you never know say daddy me snow me are the boom shakata (¿qué-qué-qué-qué?) me never lay-a down flat in-a one cardboard box-a (¡sube, sube!) yes-a daddy yankee me-a go reachin' out da top (what?) con calma, yo quiero ver como ella lo menea mueve ese poom-poom, girl (girl) es una asesina, cuando baila quiere que to' el mundo la vea i like your poom-poom, girl con calma, ya' no say daddy me snow me i go blame i like your poom-poom, girl 'tective man a say, say daddy me snow me stop a girl down the lane i love your poom-poom, girl",0.0,0.0593,93.989,4.0,Con Calma,95.0,0.656
1,0.602,Secreto,"Anuel Aa,Karol G",4838252.0,"reggaeton flow,trap latino",93.0,0.807,258800.0,0.803,0.0,0.00853,11.0,0.136,-4.156,"(bebecita) (bebe-bebecita), uah bebecita lo de nosotro' e' un secreto que nadie se entere (uah) baby, yo siempre me vengo contigo cuando tú te viene' (uah) ante el mundo somos amigo' y lo hacemo' escondido (oh-oh-oh) y yo solo en mi cama dios es el testigo (oh-oh-oh) lo de nosotros es un secreto pero siempre nos vemos (nos vemo') y to' el mundo habla de nosotros pero siempre nos comemos (comemo') y tú me hiciste enloquece-e-er, yeh-eh (oh-oh-oh, oh-oh) y contigo me siento bie-e-en, yeh-eh, ah (oh-oh-oh, oh-oh, oh) y nadie nunca lo va saber (bebé) que tú eres mi mujer (mujer) y nadie junto' nos quiere ver pero nos vamo' a esconder yo te hago el amor bien rico y te aprieto la mano (la mano) bebé, ya son como las cuatro y pico pero pa'l sexo es temprano (temprano) baby, conmigo tú te sientes vivo pero siempre nos matamo' los secretos siempre se saben baby, tarde o temprano (temprano, oh) nuestro amor es un secreto pero siempre nos vemos (eh-eh) y to' el mundo habla de nosotros pero siempre nos comemos (eh-eh) y tú me hiciste enloquece-e-er, yeh-eh y contigo me siento bie-e-en, yeh-eh y nadie nunca lo va a saber (bebé) que yo soy tu mujer (mujer) y contigo no me quieren ver (eh-eh) pero nos vamos a esconder (-e-e-er) imposible el celibato, sin ti me mato y de tu cuerpo soy un tecato (-cato) bebé tú eres mía, yo no comparto (uah) y siempre te rompo to'a en mi cuarto, bebé imposible el celibato, sin ti me mato y tú eres mío, yo no comparto hasta la muerte hicimo' un pacto (uah) y siempre lo hacemos rico en mi cuarto, bebé bebecita, bebecita (uah) lo de nosotros e' un secreto que nadie se entere (-tere, eh) baby, yo siempre me vengo contigo cuando tú te viene' (eh, eh, eh) ante el mundo somos amigo' y lo hacemos a escondido (-dido) tú y yo solo en mi cama y dios es el testigo (testigo) lo de nosotros es un secreto pero siempre nos vemos (nos vemo', eh-eh) y to' el mundo habla de nosotros pero siempre nos comemos (comemo') y tú me hiciste enloquece-e-er, yeh-eh (eh-eh) y contigo me siento bie-e-en, yeh-eh y nadie nunca lo va saber que tú eres mi mujer (mujer) y contigo no me quieren ver (bebé) pero nos vamo' a esconder, ey, ah, ah (oh-oh-oh-oh) (real hasta la muerte, baby) dale, dale, ey baby (real hasta la muerte, baby) dale dale, ey, uah (uah) karol g, uah (karol g) (bebecita) bebecita (uah-uah; oh-oh-oah) mera, dime ez (uah-uah; ez who made the beat) lo' intocable', ¿oíste, bebé? eh, ah (oh-oh-oh, oh-oh, oh) real hasta la muerte, bebecita (eh-eh) bebecito (¡brr!) uy, anuel (eh-eh) mera, dime frabian (hmm, no) mera, dime prida (ah, uah) (bebecita) mera, dime eq (bebe-bebecita, uah-uah, eh) bebecita, ah-ah-ah-ah (eh-eh) bebecita, ah-ah-ah-ah (eh-eh) (uah-uah, eh)",1.0,0.126,91.987,4.0,Secreto,95.0,0.706
2,0.323,Calma (Remix),"Pedro Capó,Farruko",139977.0,latin pop,82.0,0.826,238200.0,0.773,0.0,0.0,11.0,0.143,-4.218,"laramercy gang welcome to the paradise ¡farru! cuatro abrazos y un café apenas me desperté y al mirarte recordé que ya todo lo encontré tu mano en mi mano de todo escapamos juntos ver el sol caer (let them enjoy the paradise) vamos pa' la playa, pa’ curarte el alma cierra la pantalla, abre la medalla todo el mar caribe, viendo tu cintura tú le coqueteas, tú eres busca bullas y me gusta lento y contento, cara al vie-ento lento y contento, cara al vie-ento ya, ya, ya, ¡farru! y aprovecha que el sol 'tá caliente y vamo' a disfrutar el ambiente vámono’ a meternos pa'l agua pa' que veas qué rico se siente y vámono' en tropical por to'a la costa a chinchorrear de chinchorro a chinchorro paramo' a darno' una medalla bien fría pa' bajar la sequía un poco de bob marley y unos tragos ’e sangría pa’ que te sueltes, poco a poquito porque pa' vacilar no hay que salir de puerto rico y dale lento, date un shot de coquito y como dice fonsi: ""vamo’ a darle despacito"" (ya, ya, ya) pa' que te suelte', poco a poquito porque pa' vacilar no hay que salir de puerto rico (laramercy gang) vamos pa’ la playa, pa' curarte el alma cierra la pantalla, abre la medalla todo el mar caribe, viendo tu cintura tú le coqueteas, tú eres busca bullas vamos pa' la playa, pa' curarte el alma cierra la pantalla, abre la medalla todo el mar caribe, viendo tu cintura tú le coqueteas, baby, tú estás dura y me gusta lento y contento, cara al vie-ento lento y contento, cara al vie-ento farru, ya-ya-ya-ya-ya-ya y darle lento, meterle violento te puse reggaetón pa' que me apague' ese cuerpo métele hasta abajo, está duro ese movimiento el único testigo que tenemos aquí e' el viento y dale, métele cintura mátame con tu hermosura mira cómo me frontea porque sabe que está dura calma, mi vida, con calma que nada hace falta si estamos juntitos andando calma, mi vida, con calma que nada hace falta si andamos juntitos bailando vamos pa' la playa, pa' curarte el alma cierra la pantalla, abre la medalla todo el mar caribe, viendo tu cintura tú le coqueteas, tú eres busca bullas vamos pa' la playa, pa' curarte el alma cierra la pantalla, abre la medalla todo el mar caribe, viendo tu cintura tú le coqueteas, baby, tú estás dura y me gusta desde la isla del encanto farru landzari pedro capó george noriega rec808 sharo torres puerto rico welcome to the paradise",0.0,0.0524,126.899,4.0,Calma - Remix,96.0,0.761
3,0.0446,Te Vi,"Piso 21,Micro Tdh",2967485.0,"colombian pop,latin,latin pop",82.0,0.877,231848.0,0.777,0.0,3.46e-05,1.0,0.0863,-4.246,"(¡uy!) tdh piso 21 (oh, no) micro tdh (no, no, no; no, no, no) piso 21 (no, no, no) ovy on the drums, on the drums (oh, no) o-o-ovy on the drums no sé qué tiene tu mirar será tu forma de bailar cuando nos besamos sentimos que nos gustamos y cuando te tengo en mis brazos el tiempo pasa volando, oh, oh y cuando yo te vi, te vi, te vi, te vi (te vi, te vi) me enamoré de inmediato, eso fue en el acto (-ato) y ahora que estás aquí, aquí, aquí quiero hacerte pasar un buen rato, el mejor de los ratos y cuando yo te vi, te vi, te vi, te vi (no) me enamoré de inmediato (yeh) eso fue en el acto ahora que estás aquí, aquí, aquí, baby quiero hacerte pasar un buen rato, el mejor de los ratos, woh nos dimos par de picos y no ha pasado nada sólo quería saber si te gustaba cuando te reía' me encantaba y yo como loco, perdido en tu mirada ese beso que nos dimos en la noche mientra' bailabas son cosas que no me esperaba sentí que yo te gustaba (¡eh!) tiene la fórmula y la actividad, eh dame una vueltica y empieza a bailar, eh tú me gustas tanto, que si tú te vas me pongo nervioso y empiezo a temblar (uh) ya no me interesa', mami, la' demás mueve ese cuerpazo y acércate más a mí, a mí (a mí; ¡eh!) y cuando yo te vi, te vi, te vi, te vi (oh, no) me enamoré de inmediato, eso fue en el acto y ahora que estás aquí, aquí, aquí quiero hacerte pasar un buen rato, el mejor de los ratos y cuando yo te vi, te vi, te vi, te vi (noo) me enamore de inmediato (yeh) eso fue en el acto ahora que estás aquí, aquí, aquí baby quiero hacerte pasar un buen rato, el mejor de los ratos, woh no sé qué tiene tu mirar será tu forma de bailar cuando nos besamos sentimos que nos gustamos y cuando te tengo en mis brazos, el tiempo pasa volando (brrr, yeh-eh) (eh) tú tienes la fórmula y la actividad, eh dame una vueltica y empieza a bailar, eh tú me gustas tanto, que si tú te vas me pongo nervioso y empiezo a temblar ya no me interesa', mami, las demás mueve ese cuerpazo y acércate más a mí, a mí y cuando yo te vi, te vi, te vi, te vi me enamore de inmediato, eso fue en el acto y ahora que estás aquí, aquí, aquí quiero hacerte pasar un buen rato, el mejor de los ratos y cuando yo te vi, te vi, te vi, te vi (noo) me enamore de inmediato (yeh) eso fue en el acto ahora que estás aquí, aquí, aquí baby quiero hacerte pasar un buen rato, el mejor de los ratos (woh)",1.0,0.117,102.02,4.0,Te Vi,90.0,0.706
4,0.146,Desconocidos,"Mau y Ricky,Manuel Turizo,Camilo",762288.0,"latin,latin pop,pop,tropical",81.0,0.709,204453.0,0.771,1.0,3.29e-06,7.0,0.249,-4.598,"desconocidos yeah, yeah, yeah sí, sí apenas somos dos desconocidos con ganas de besarse con ganas de que pase lo que pase apenas somos dos (apenas somos dos) desconocidos con miedo a enamorarse con miedo de que pase lo que pase vamo' a pasar un buen rato si quieres, después nos enamoramos vamo' a pasar un buen rato paso a paso, que la cagamos vamo' a pasar un buen rato (sí) si quieres, después nos enamoramos vamo' a pasar un buen rato paso a paso, que la cagamos oye, oye, óyeme bien tú eres lo que busco yo en una mujer te tengo en la mira desde que llegué siento que eres mía, yo no sé por qué ay, yo sé que es mentira decir que soy el hombre de tu vida si tú ayer no me conocías y no sabías que me querías vamo' a pasar un buen rato y si quieres, después nos enamoramos vamo' a pasar un buen rato paso a paso, que la cagamos vamo' a pasar un buen rato (un rato) si quieres, después nos enamoramos (después nos enamoramos) vamo' a pasar un buen rato paso a paso, que la cagamos y lo bailamo' lentico no sé como explicar lo que en ti estoy viendo me encanta como estás moviéndote tu cuerpo estrella contra mi cuerpo, ma no lo entiendo dime si de mí te estabas escondiendo tú tan bella y yo apenas conociéndote bailemos sin importar quién esté viendo y yo te quiero tener conmigo, conmigo yo quiero pasarla bien contigo, contigo hoy yo te quiero tener conmigo, conmigo y ver el amanecer contigo, contigo apenas somos dos desconocidos con ganas de besarse (con miedo a enamorarse) con ganas de que pase lo que pase apenas somos dos desconocidos con miedo a enamorarse (con ganas de besarse) con miedo de que pase lo que pase vamo' a pasar un buen rato si quieres, después nos enamoramos vamo' a pasar un buen rato paso a paso, que la cagamos vamo' a pasar un buen rato (sí) si quieres, después nos enamoramos vamo' a pasar un buen rato paso a paso, que la cagamos mau y ricky camilo manuel turizo, julian turizo",1.0,0.166,174.006,4.0,Desconocidos,92.0,0.709
5,0.0361,Baila Baila Baila,Ozuna,15067114.0,"reggaeton,trap latino",94.0,0.816,158400.0,0.754,0.0,0.0,11.0,0.217,-2.75,"ella casi ni sale, la traicionó el amor tiene par de amistade', pero no quiere relación donde va sobresale, en sus ojo’ se ve la ilusión (se ve la ilusión) pero llamó a su amiga que se olvide, que esta es su canción (oh-oh) y baila, baila, baila (baila, baila) ponle música, pa' que esto no pare baila, baila, baila tengo que besarte ante' que se acabe baila, baila, baila (baila, baila) ponle música, pa’ que esto no pare baila, baila, baila tengo que besarte ante' que se acabe (ozuna) me gusta como te ve' (como te ve'-e'-e') moviéndote, así e' (así e'-e’) dejando la timide’ (uoh-oh) me gustas demasiado, aquí me tienes deseándote (deseándote) toda la noche imaginándote-e (imaginándote) por el cuello besándote (uoh-oh) y por la mano agarrándote que conmigo tú te va' (te va’) hacer algo más (algo más) que no pueda' olvidar conmigo hace sentir lo que no ha sentido con alguien más conmigo tú te vas (tú te va') hacer algo más (oh-oh) no pueda' olvidar (baby) conmigo va’ a sentirte mejor baila, baila, baila (baila, baila) ponle música, pa' que esto no pare baila, baila, baila (baila, baila) tengo que besarte ante' que se acabe baila, baila, baila (oh-oh) ponle música, pa' que esto no pare baila, baila, baila (-la, ah) tengo que besarte ante' que se acabe jaja ozuna luian mambo kingz hydro jowny y baila, baila, baila ponle música, pa' que esto no pare baila, baila, baila tengo que besarte ante' que se acabe baila, baila, baila ponle música, pa' que esto no pare baila, baila, baila tengo que besarte ante' que se acabe ella casi ni sale, la traicionó el amor tiene par de amistade', pero no quiere relación donde va sobresale, en sus ojo' se ve la ilusión (ilusión) pero llamó a su amiga', que se olvide, que esta es su canción jaja, jaja el negrito 'e ojos claros nibiru wo-oh-oh dímelo vi",0.0,0.111,99.966,4.0,Baila Baila Baila,94.0,0.533
6,0.323,Adan y Eva,Paulo Londra,3784224.0,"argentine hip hop,trap argentino,trap latino",85.0,0.767,258639.0,0.709,0.0,0.0,1.0,0.0676,-4.47,"o-o-ovy on the drums acércate, dejá la duda la noche es fría pero conmigo e' segura despégate de la amargura y déjame llevarte a tu debida altura de tu’ locuras, de tus ideas de tu cultura y de tu ciencia ¿la alcanzaré? eso no lo sé, pero esta noche de mí no te escapas esta noche no me guardo la' palabras soñé siempre con tener esta velada y que tengo que contarte a ti que de mí no te escapas esta noche no me guardo la' palabras soñé siempre con tener esta velada y que tengo que contarte a ti como adán y eva, tengamo’ nuestro pecado como do' ladrone', un secreto bien guardado un camino y un destino asegurado donde esto' fugitivo' se han amado y como adán y eva, tengamo' nuestro pecado como do' ladrone', un secreto bien guardado un camino y un destino asegurado donde esto’ fugitivo’ se han amado (yeh) tú vive' con otro y yo medio a solas a mí no me quieren, él no te valora él no te saluda ni te dice hola y a mí no me hablan a ninguna hora vives en una esquina, y yo vivo en la otra y te miro to’ el día a ver cuándo es la hora para acercarme; quiero sentirte, quiero mirarte, ma' para hablarte; quiero contarte, quiero explicarte, ma' que no soy alguien interesante, sólo un cobarde más que hizo bastante para este día poderse acercar, mamá ya no puedo más, tienes que escuchar lo que vine a ofrecer, ey de mí no te escapas (no) esta noche no me guardo las palabras (yeh) soñé siempre con tener esta velada y que tengo que contarte a ti (¡wuh!) como adán y eva, tengamo' nuestro pecado como do’ ladrone', un secreto bien guardado un camino y un destino asegurado (woh-oh, yeh-eh) donde esto' fugitivo' se han amado y como adán y eva, tengamo' nuestro pecado (wo-oh) como do' ladrone', un secreto bien guardado (yeh-eh) un camino y un destino asegurado (woh-oh, yeh-eh) donde esto' fugitivo' se han amado como adán y eva (ey) como adán y eva (ah) como adán y eva como adán y eva (ah-ah-ah-ah) acércate, dejá la duda la noche es fría pero conmigo e' segura despégate de la amargura y déjame llevarte a tu debida altura de tu' locuras, de tus ideas de tu cultura y de tu ciencia ¿la alcanzaré? eso no lo sé, pero esta noche ah… sé que soy muy molesto, pero quiero decirte que… de mí no te escapas (no-oh) esta noche no me guardo la' palabra' (yeh-eh) soñé siempre con tener esta velada y que tengo que contarte a ti (¡wuh!) que de mí no te escapas (no-oh) esta noche no me guardo la' palabra' (yeh-eh) soñé siempre con tener esta velada (woh-oh, yeh-eh) y que tengo que contarte a ti (yeh-eh-eh) ¡shiuf! ovy on the drums, on the drums, on the drums (woh-woh) paulo londra, ey (yeh-eh) big ligas lo' mayore', ah the kristoman, ey (woh-oh) leones con flow (yeh-eh) oh, oh, oh, yeh-eh-eh (woh-oh, yeh-eh, yeh-eh-eh) como adán y eva, ey (sencillo, yeh-eh-eh) como adán y eva, ah (yeh-eh-eh) como adán y eva como adán y eva (yeh-eh-eh)",1.0,0.336,171.993,4.0,Adan y Eva,94.0,0.72
7,0.265,Ella Quiere Beber (Remix),"Anuel Aa,Romeo Santos",4838253.0,"reggaeton flow,trap latino",93.0,0.751,219357.0,0.665,0.0,0.0,8.0,0.0515,-3.083,"check, check (remix) i'mma show you why i'm the king of this shit uah (kob, real hasta la muerte, baby) cuando una mujer decide ser mala y no quiere dueño probablemente un hombre la engañó en su vida, sin sentimientos rumba, el pasado lo enterró en la tumba la mala tiene vida, la buena es la difunta ahora, pal' carajo la envidia de todas todo bobolon que se le acerque ella lo ignora tan callaí'ta que era la nena ahora es candela la veo cazando con veinte botellas presiento un problema yo soy servicial con sus deseos si me pide como r kelly yo la- (nasty) no me gustan chamaquitas solo hago lo que la bebé le excita él le falló-ó-ó y la traicionó-ó-ó ahora ella va a vengarse en mi cama ella quiere beber, ella quiere bailar su novio la dejó y lo quiere olvidar ella se entregó y el tipo le falló y por eso se va a rumbear (rumbear) ella quiere beber, ella quiere bailar su novio la dejó y lo quiere olvidar ella se entregó y el tipo le falló y por eso se va a rumbear en el phantom yo te voy a buscar baby, tú nunca me va' a olvidar (bebé) yo necesito que me enseñe' a amar (amar) bebecita, yo te vo' a devorar bebecita, tu cuerpo y tú a mí me excitan (uah) por dentro tu me necesita' tú siempre va' a ser mi diablita mi loquita, mojaíta' tu cuerpo y tú a mí me excitan por dentro tú me necesita' tú siempre va' a ser mi diablita mi loquita, bien bonita ella quiere beber, ella quiere bailar su novio la dejó y lo quiere olvidar ella se entregó y el tipo le falló y por eso se va a rumbear ella quiere beber, ella quiere bailar su novio la dejó y lo quiere olvidar ella se entregó y el tipo le falló y por eso se va a rumbear ella me miraba desde lejo' bailando en un hilito de romeo (uah) nunca escuchaba lo' consejo' en sus ojos siempre veo mis reflejos le falló-ó-ó y la traicionó-ó-ó ella se emborrachó-ó y conmigo se escapó-ó-ó veinte botella', champaña rosada la bebecita me deseaba (uah) una diablita, ella me devoraba (uah) y yo adentro 'e su piel me enterraba (uah) dios mío, qué rico, baby (baby) su cuerpo se apodera de mí (de mí) temblando en un orgasmo pa' mí (pa' mí) real hasta la muerte, baby ella quiere beber, ella quiere bailar (bailar) su novio la dejó y lo quiere olvidar ella se entregó y el tipo le falló y por eso se va a rumbear ella quiere beber, ella quiere bailar su novio la dejó y lo quiere olvidar ella se entregó y el tipo le falló y por eso se va a rumbear uah-uah, eh mera dime romeo los intocables, los illuminatis el remix mas hijo de la gran puta estoy con el king, ¿oi'te bebé? bebé real hasta la muerte chris jeday gaby music (real hasta la muerte, baby) brrrr",1.0,0.124,95.239,4.0,Ella Quiere Beber - Remix,92.0,0.698
8,0.0275,Baby Girl (feat. Lalo Ebratt),"Mario Bautista,Lalo Ebratt",623152.0,"latin pop,mexican pop",70.0,0.804,218470.0,0.705,0.0,0.000138,1.0,0.202,-5.272,"es que con tu piel me envuelves (brr, brr) me envuelves como serpiente (skrr) veneno que no me mata veneno que me hace fuerte (prr, prr) ay nena bésame, bésame, bésame, bésame (haa, haa, haa, haa) yo me erizo si me tocas envenéname la boca ay dale bésame, bésame, bésame, bésame (prr, prr) sabes que te tengo loca, loca muérdeme una y otra vez una y otra vez te quiero probar tan bien, yeah dale, quítame el estrés sé lo que quieres ser sé una baby girl (baby) de portugal vine navegando (prr) tu nombre se lo puse a mi barco (skrr, skrr) te estaba esperando tú conoces dónde y sabes cuándo (you know it baby) y dime que quieres conmigo como yo quiero contigo (jaja) yo no sé por qué me gustas tanto yo no sé por qué me gustas tanto (prr, prr) todas se regalan muy heavy (pshh, pshh) todas las patinetas son penny (ha) (pshh, pshh) el rojo en los ojos te queda bien (so good) dile a tus amigas que te gasté más de cien (yeah, damn) i kissed a girl, i liked it (so good) qué bien te ves, versace i kissed a girl, i liked it (anónimo) i kissed a girl muérdeme una y otra vez una y otra vez te quiero probar tan bien (alright), yeah dale quítame el estrés sé lo que quieres ser sé una baby girl es que con tu piel me envuelves (dile baby) me envuelves como serpiente (alright) veneno que no me mata (uh oh, que no me mata) veneno que me hace fuerte (so strong ma') ay nena bésame, bésame, bésame, bésame (kiss me) yo me erizo si me tocas envenéname la boca (he's lit) ay dale bésame, bésame, bésame, bésame (jaja) sabes que te vuelvo loca (prr, prr), loca, loca mario b, ella dice que está pa' mí sus amigas hablan mal de mí, dale ahí ella dice que está pa' mí, mario b dile ma' g ma' l-a-l-o ma' (ha) mucho trip, mb (jaja) muérdeme una y otra vez (skrr) una y otra vez (skrr) te quiero probar tan bien (haa, haa, haa, haa) dale quítame el estrés sé lo que quieres ser sé una baby girl disculpen la demora, nos habíamos perdido en el tiempo a otro universo, en el 2030 y pico trapicalminds mario (je) nos estamos quedando con todo el party y todas las baby girls (jaja) that's right, mami vomitando flow",1.0,0.199,103.009,4.0,Baby Girl (feat. Lalo Ebratt),84.0,0.45
9,0.148,Un Año,"Sebastian Yatra,Reik",5984773.0,colombian pop,85.0,0.771,164440.0,0.382,0.0,0.0,1.0,0.104,-6.808,"yo te conocí en primavera me miraste tú de primera de un verano eterno me enamoré y esa despedida en septiembre en octubre sí que se siente noviembre sin ti me dolió también llegará diciembre, sigues en mi mente fueron seis meses y por fin volveré a verte llegará febrero y yo seré el primero en darte flores y decirte que te quiero puede que pase un año más de una vez sin que te pueda ver pero el amor es más fuerte puede que el tiempo nos aleje otra vez sin saber dónde estés pero el amor es más fuerte uoh-oh-oh, oh-oh, oh-oh te esperaré porque el amor es más fuerte ya le dije a mis amigo' yo no necesito a nadie, sólo tú estás en mi mente mil kilómetros se restan cuando dos almas se suman, a los lejos puedo ver sólo pienso, sólo pienso en ti sólo pienso, sólo pienso en ti ya mis primos saben tu apellido que por ti yo estoy perdido espero que también te pase a ti llegará diciembre, sigues en mi mente fueron seis meses y por fin volveré a verte llegará febrero y yo seré el primero en darte flores y decirte que te quiero puede que pase un año más de una vez sin que te pueda ver pero el amor es más fuerte puede que el tiempo nos aleje otra vez sin saber dónde estés pero el amor es más fuerte oh-oh-oh, oh-oh, oh-oh te esperaré porque el amor es más fuerte oh-oh-oh, oh-oh, oh-oh te esperaré porque el amor es más fuerte yo te conocí en primavera me miraste tú de primera",0.0,0.0514,94.931,4.0,Un Año,89.0,0.535
