,acousticness,artist,danceability,date,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,position,speechiness,stream,tempo,time_signature,track_name,url,valence
0,0.187,Shakira,0.852,2017-01-01,195840.0,0.773,3.05e-05,8.0,0.159,-2.921,0.0,1.0,0.0776,395069.0,102.034,4.0,Chantaje (feat. Maluma),https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,0.907
1,0.4,CNCO,0.761,2017-01-01,222560.0,0.838,0.0,4.0,0.176,-3.073,0.0,2.0,0.0502,336760.0,93.974,4.0,Reggaetón Lento (Bailemos),https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,0.71
2,0.00431,Ricky Martin,0.663,2017-01-01,259196.0,0.92,1.69e-05,11.0,0.101,-4.07,0.0,3.0,0.226,300392.0,99.935,4.0,Vente Pa' Ca,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,0.533
3,0.551,J Balvin,0.508,2017-01-01,205600.0,0.687,3.41e-06,0.0,0.126,-4.361,1.0,4.0,0.326,283184.0,180.044,4.0,Safari,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,0.555
4,0.0559,Zion & Lennox,0.832,2017-01-01,209453.0,0.772,0.000486,10.0,0.44,-5.429,1.0,5.0,0.1,254484.0,96.016,4.0,Otra Vez (feat. J Balvin),https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,0.704
5,0.198,Carlos Vives,0.736,2017-01-01,227707.0,0.964,2.32e-06,0.0,0.336,-2.147,1.0,6.0,0.129,224828.0,179.935,4.0,La Bicicleta,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,0.953
6,0.142,Sebastian Yatra,0.776,2017-01-01,228467.0,0.669,0.0,11.0,0.219,-4.933,1.0,7.0,0.0638,224723.0,91.012,4.0,Traicionera,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,0.661
7,0.414,The Chainsmokers,0.748,2017-01-01,244960.0,0.524,0.0,8.0,0.111,-5.599,1.0,8.0,0.0338,195640.0,95.01,4.0,Closer,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,0.661
8,0.076,Daddy Yankee,0.899,2017-01-01,234320.0,0.626,0.0,6.0,0.0631,-4.228,0.0,9.0,0.292,192534.0,88.007,4.0,Shaky Shaky,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,0.873
9,0.165,The Weeknd,0.681,2017-01-01,230453.0,0.594,3.49e-06,7.0,0.134,-7.028,1.0,10.0,0.282,184402.0,186.054,4.0,Starboy,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,0.535
10,0.0784,DJ Snake,0.476,2017-01-01,205947.0,0.718,1.02e-05,8.0,0.122,-5.309,1.0,11.0,0.0576,182918.0,199.864,4.0,Let Me Love You,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,0.142
11,0.167,IAmChino,0.761,2017-01-01,252003.0,0.829,0.0,0.0,0.189,-3.203,0.0,12.0,0.0681,179480.0,92.033,4.0,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,0.813
12,0.034,Bruno Mars,0.818,2017-01-01,225983.0,0.803,0.0,1.0,0.153,-4.282,1.0,13.0,0.0797,164003.0,106.97,4.0,24K Magic,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,0.632
13,0.338,Maroon 5,0.783,2017-01-01,214480.0,0.623,0.0,7.0,0.0975,-6.126,1.0,14.0,0.08,163050.0,100.048,4.0,Don't Wanna Know,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,0.447
14,0.324,Christian Nodal,0.431,2017-01-01,202480.0,0.452,0.0,2.0,0.313,-5.165,1.0,15.0,0.0346,152862.0,177.78,4.0,Adiós Amor,https://open.spotify.com/track/3OQXAp3uGQvkPi4DAMaM5p,0.742
15,0.406,Clean Bandit,0.72,2017-01-01,251088.0,0.763,0.0,9.0,0.18,-4.068,0.0,16.0,0.0523,149640.0,101.965,4.0,Rockabye (feat. Sean Paul & Anne-Marie),https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,0.742
16,0.547,Piso 21,0.76,2017-01-01,210323.0,0.838,1.3e-06,7.0,0.0664,-3.828,0.0,17.0,0.0529,145553.0,93.05,4.0,Me Llamas (feat. Maluma) - Remix,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX,0.745
17,0.0786,Enrique Iglesias,0.724,2017-01-01,200813.0,0.904,0.0,8.0,0.226,-3.354,0.0,18.0,0.0966,144146.0,90.999,4.0,DUELE EL CORAZON,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf,0.846
18,0.132,Maluma,0.73,2017-01-01,207307.0,0.701,0.0,5.0,0.151,-5.885,0.0,19.0,0.106,141380.0,175.95,4.0,Borro Cassette,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,0.785
19,0.0998,Ozuna,0.721,2017-01-01,226400.0,0.687,0.0,1.0,0.0679,-6.682,1.0,20.0,0.0782,134333.0,175.914,4.0,Dile Que Tu Me Quieres,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,0.825
