,Unnamed: 0,artist,date,position,streams,track_name,url
0,0,Shakira,2017-01-01,1,395069,Chantaje (feat. Maluma),https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
1,1,CNCO,2017-01-01,2,336760,Reggaetón Lento (Bailemos),https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
2,2,Ricky Martin,2017-01-01,3,300392,Vente Pa' Ca,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
3,3,J Balvin,2017-01-01,4,283184,Safari,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
4,4,Zion & Lennox,2017-01-01,5,254484,Otra Vez (feat. J Balvin),https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
5,5,Carlos Vives,2017-01-01,6,224828,La Bicicleta,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU
6,6,Sebastian Yatra,2017-01-01,7,224723,Traicionera,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
7,7,The Chainsmokers,2017-01-01,8,195640,Closer,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
8,8,Daddy Yankee,2017-01-01,9,192534,Shaky Shaky,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
9,9,The Weeknd,2017-01-01,10,184402,Starboy,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
10,10,DJ Snake,2017-01-01,11,182918,Let Me Love You,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
11,11,IAmChino,2017-01-01,12,179480,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
12,12,Bruno Mars,2017-01-01,13,164003,24K Magic,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
13,13,Maroon 5,2017-01-01,14,163050,Don't Wanna Know,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
14,14,Christian Nodal,2017-01-01,15,152862,Adiós Amor,https://open.spotify.com/track/3OQXAp3uGQvkPi4DAMaM5p
15,15,Clean Bandit,2017-01-01,16,149640,Rockabye (feat. Sean Paul & Anne-Marie),https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
16,16,Piso 21,2017-01-01,17,145553,Me Llamas (feat. Maluma) - Remix,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
17,17,Enrique Iglesias,2017-01-01,18,144146,DUELE EL CORAZON,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
18,18,Maluma,2017-01-01,19,141380,Borro Cassette,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
19,19,Ozuna,2017-01-01,20,134333,Dile Que Tu Me Quieres,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o
20,20,Chino & Nacho,2017-01-01,21,131939,Andas En Mi Cabeza,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
21,21,The Weeknd,2017-01-01,22,129725,I Feel It Coming,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
22,22,Ariana Grande,2017-01-01,23,128511,Side To Side,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
23,23,Maluma,2017-01-01,24,127845,Cuatro Babys,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR
24,24,Calvin Harris,2017-01-01,25,125198,My Way,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
25,25,Charlie Puth,2017-01-01,26,124938,We Don't Talk Anymore (feat. Selena Gomez),https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
26,26,Drake,2017-01-01,27,124422,One Dance,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
27,27,Wisin,2017-01-01,28,122764,Vacaciones,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE
28,28,Martin Garrix,2017-01-01,29,118568,In the Name of Love,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
29,29,Major Lazer,2017-01-01,30,115009,Cold Water (feat. Justin Bieber & MØ),https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
30,30,Alejandro Fernandez,2017-01-01,31,114387,Quiero Que Vuelvas,https://open.spotify.com/track/2Zw7rSucHm0MIph9gmNiSn
31,31,Twenty One Pilots,2017-01-01,32,109372,Heathens,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
32,32,Thalía,2017-01-01,33,108555,Desde Esa Noche,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E
33,33,Banda Sinaloense MS de Sergio Lizárraga,2017-01-01,34,106431,Tengo Que Colgar,https://open.spotify.com/track/2yGNkkwU2iT0doFxkxhcXH
34,34,Farruko,2017-01-01,35,105881,Chillax (feat. Ky-Mani Marley),https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES
35,35,Mike Posner,2017-01-01,36,104528,I Took A Pill In Ibiza - Seeb Remix,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
36,36,Cartel De Santa,2017-01-01,37,101922,Leve,https://open.spotify.com/track/48yFrzTcnTCklWL9PRVZJj
37,37,Steve Aoki,2017-01-01,38,99843,Just Hold On,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
38,38,ZAYN,2017-01-01,39,96667,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
39,39,J Balvin,2017-01-01,40,96490,Bobo,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6
40,40,Juanes,2017-01-01,41,94332,Fuego,https://open.spotify.com/track/0mwPE0lPOgnWf2bo14xedJ
41,41,Ariel Camacho y Los Plebes Del Rancho,2017-01-01,42,93380,Te Metiste,https://open.spotify.com/track/0nNTCEOzFlBTlDCx5IfLWP
42,42,Rae Sremmurd,2017-01-01,43,89100,Black Beatles,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
43,43,Banda Sinaloense MS de Sergio Lizárraga,2017-01-01,44,87301,Me Vas a Extrañar,https://open.spotify.com/track/2yS8aYWXEWJ1NlZ7VPDroT
44,44,Banda Sinaloense MS de Sergio Lizárraga,2017-01-01,45,85971,Solo Con Verte,https://open.spotify.com/track/5z4O1H0vFY0Nh4ZMtfgapP
45,45,Jesse & Joy,2017-01-01,46,83537,Dueles,https://open.spotify.com/track/1iRvhKiXRElIH2Uf4gd95P
46,46,Nicky Jam,2017-01-01,47,83336,Hasta el Amanecer,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS
47,47,Sofia Reyes,2017-01-01,48,83096,Llegaste tú (feat. Reykon),https://open.spotify.com/track/79Bm3DTEYuQsDpUVHbSRsL
48,48,Maluma,2017-01-01,49,82568,El Perdedor,https://open.spotify.com/track/1iEwyiSLAunPR6uouANE0O
49,49,Drake,2017-01-01,50,82095,Fake Love,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
50,50,Jonas Blue,2017-01-01,51,81787,By Your Side,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
51,51,DJ Snake,2017-01-01,52,79886,Middle,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n
52,52,Los Angeles Azules,2017-01-01,53,78877,Mis Sentimientos,https://open.spotify.com/track/66NNoydhDCKHjBZjO4OnNm
53,53,Justin Timberlake,2017-01-01,54,77856,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
54,54,Twenty One Pilots,2017-01-01,55,77830,Ride,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
55,55,Calvin Harris,2017-01-01,56,76482,This Is What You Came For,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
56,56,Luis Miguel,2017-01-01,57,76124,Ahora Te Puedes Marchar,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
57,57,Maluma,2017-01-01,58,73541,Sin Contrato,https://open.spotify.com/track/09S64DUkxIX9EwIaULu6yN
58,58,Twenty One Pilots,2017-01-01,59,72536,Stressed Out,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
59,59,Los Angeles Azules,2017-01-01,60,72135,El Listón De Tu Pelo,https://open.spotify.com/track/5hrxAFrYbNTLjAYSrmbpgr
60,60,Reik,2017-01-01,61,70182,Qué Gano Olvidándote,https://open.spotify.com/track/7iXRsjttPa62GpOcqsx1aE
61,61,Sia,2017-01-01,62,69719,Cheap Thrills,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
62,62,James Arthur,2017-01-01,63,69263,Say You Won't Let Go,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
63,63,Zion & Lennox,2017-01-01,64,68252,Mi Tesoro (feat. Nicky Jam),https://open.spotify.com/track/5HABnFSYvl6mTmg8nSdzHa
64,64,Gente De Zona,2017-01-01,65,67680,La Gozadera,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9
65,65,The Chainsmokers,2017-01-01,66,66794,Don't Let Me Down,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
66,66,Charly Black,2017-01-01,67,65847,Gyal You A Party Animal - Remix,https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I
67,67,Julión Álvarez y su Norteño Banda,2017-01-01,68,64264,Afuera Está Lloviendo,https://open.spotify.com/track/6vVlJvDUGiF2w6XxJtDZUC
68,68,Joey Montana,2017-01-01,69,63992,Picky,https://open.spotify.com/track/4tPL9PeVZY4c0jUPtSD5nx
69,69,Los Plebes del Rancho de Ariel Camacho,2017-01-01,70,63825,No Lo Hice Bien,https://open.spotify.com/track/211mktDmIq7g2Q4gBTXphj
70,70,Shawn Mendes,2017-01-01,71,63697,Mercy,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
71,71,Reik,2017-01-01,72,63565,Ya Me Enteré (feat. Nicky Jam) - Urban Version,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F
72,72,Los Angeles Azules,2017-01-01,73,63530,Cómo Te Voy A Olvidar,https://open.spotify.com/track/51dNexiESqcJLsGLrmg1Nv
73,73,Banda Sinaloense MS de Sergio Lizárraga,2017-01-01,74,63006,Háblame De Ti,https://open.spotify.com/track/1O18MtSAMUk7JfAVB8gGzs
74,74,Los Angeles Azules,2017-01-01,75,62009,17 Años - En Vivo Concierto Sinfónico Cumbia Fuzión by Fuze Tea,https://open.spotify.com/track/1ODoXFTC06Gts1blnAS3h4
75,75,Calibre 50,2017-01-01,76,61811,Siempre Te Voy A Querer,https://open.spotify.com/track/3VK8copXwqvAueMPhnBe6K
76,76,León Larregui,2017-01-01,77,61280,Locos,https://open.spotify.com/track/3GSMdtJphymHEsR8K9jT5Q
77,77,Justin Bieber,2017-01-01,78,59994,Love Yourself,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
78,78,Nicky Jam,2017-01-01,79,59232,El Perdón,https://open.spotify.com/track/7qCAVkHWZkF44OzOUKf8Cr
79,79,Los Angeles Azules,2017-01-01,80,59202,Mi Niña Mujer,https://open.spotify.com/track/03gvX91BuMzzXPyMjlYhAk
80,80,Sia,2017-01-01,81,59075,The Greatest,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO
